Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 28.44    397.42   397.42                             RankItem<unsigned short>::get_pidx1(int, int) const
 17.69    644.63   247.20                             AlphaTree<unsigned short>::compute_dimg(float*, int*, unsigned short const*)
  9.04    770.96   126.34                             _ZN3pmt6init_fIZNS_12parallel_forIiZNS_17RadixSortParallelILj11EPiPNS_8SortPairIjiEEiZNS_13rank_to_indexILj11EPNS_9SortValueIjEEiS3_S6_EEvT0_T1_T2_hhT3_jEUliE_ZNS7_ILj11ESA_iS3_S6_EEvSB_SC_SD_hhSE_jEUlRiRKS5_E0_E17create_histogramsISF_EEvhRKT_EUlijE_EEvSM_RKSB_jjEUlNS_3DimIiiLm1EEEjE_ST_EEPvSV_
  7.31    873.07   102.10                             AlphaTree<unsigned short>::PushNeighbors(int, unsigned char, unsigned short const*, HierarQueueCache<unsigned short>*, unsigned char const*) const
  5.53    950.36    77.29                             AlphaTree<unsigned short>::set_isAvailable(unsigned char*)
  4.61   1014.83    64.47                             RankItem<unsigned int>::get_pidx1(int, int) const
  4.49   1077.63    62.80                             unsigned int pmt::next_nonempty_slot<pmt::parallel_for<int, pmt::RadixSortParallel<11u, int*, pmt::SortPair<unsigned int, int>*, int, pmt::rank_to_index<11u, pmt::SortValue<unsigned int>*, int, int*, pmt::SortPair<unsigned int, int>*>(pmt::SortValue<unsigned int>*, int, int*, unsigned char, unsigned char, pmt::SortPair<unsigned int, int>*, unsigned int)::{lambda(int)#1}, pmt::rank_to_index<11u, pmt::SortValue<unsigned int>*, int, int*, pmt::SortPair<unsigned int, int>*>(pmt::SortValue<unsigned int>*, int, int*, unsigned char, unsigned char, pmt::SortPair<unsigned int, int>*, unsigned int)::{lambda(int&, pmt::SortPair<unsigned int, int> const&)#2}>::scatter_digit<int*, {lambda(int)#1}, pmt::SortPair<unsigned int, int> const&>(int*, unsigned char, {lambda(int)#1} const&, pmt::SortPair<unsigned int, int> const& const&)::{lambda(int, unsigned int)#1}>(pmt::RadixSortParallel<11u, int*, pmt::SortPair<unsigned int, int>*, int, pmt::rank_to_index<11u, pmt::SortValue<unsigned int>*, int, int*, pmt::SortPair<unsigned int, int>*>(pmt::SortValue<unsigned int>*, int, int*, unsigned char, unsigned char, pmt::SortPair<unsigned int, int>*, unsigned int)::{lambda(int)#1}, pmt::rank_to_index<11u, pmt::SortValue<unsigned int>*, int, int*, pmt::SortPair<unsigned int, int>*>(pmt::SortValue<unsigned int>*, int, int*, unsigned char, unsigned char, pmt::SortPair<unsigned int, int>*, unsigned int)::{lambda(int&, pmt::SortPair<unsigned int, int> const&)#2}>, int, unsigned int, unsigned int)::{lambda(pmt::Dim<int, int, 1ul>, unsigned int)#1}, {lambda(int, unsigned int)#1}>(pmt::ThreadData<pmt::RadixSortParallel<11u, int*, pmt::SortPair<unsigned int, int>*, int, pmt::rank_to_index<11u, pmt::SortValue<unsigned int>*, int, int*, pmt::SortPair<unsigned int, int>*>(pmt::SortValue<unsigned int>*, int, int*, unsigned char, unsigned char, pmt::SortPair<unsigned int, int>*, unsigned int)::{lambda(int)#1}, pmt::rank_to_index<11u, pmt::SortValue<unsigned int>*, int, int*, pmt::SortPair<unsigned int, int>*>(pmt::SortValue<unsigned int>*, int, int*, unsigned char, unsigned char, pmt::SortPair<unsigned int, int>*, unsigned int)::{lambda(int&, pmt::SortPair<unsigned int, int> const&)#2}>, {lambda(int, unsigned int)#1}>&, unsigned int)
  3.23   1122.82    45.19                             AlphaTree<unsigned char>::HybridParallelOld(unsigned char const*, int)
  3.18   1167.28    44.46                             _ZN3pmt6init_fIZNS_12parallel_forIiZNS_17RadixSortParallelILj11EPiPNS_8SortPairIjiEEiZNS_13rank_to_indexILj11EPNS_9SortValueIjEEiS3_S6_EEvT0_T1_T2_hhT3_jEUliE_ZNS7_ILj11ESA_iS3_S6_EEvSB_SC_SD_hhSE_jEUlRiRKS5_E0_E13scatter_digitIS6_SF_ZNSK_11sort_digitsEvEUlRS5_SI_E0_EEvT_hRKSB_RKSC_EUlijE_EEvSO_SQ_jjEUlNS_3DimIiiLm1EEEjE_SV_EEPvSX_
  2.56   1203.05    35.77                             AlphaTree<unsigned short>::mergePartition(unsigned short*, long, long, int, int, int*)
